Affymetrix ID	Gene Symbol	Gene or mRNA Description	Accession	Direction	Sham Adj. P value	ADX Adj. P value
10503023	Cth	cystathionase (cystathionine gamma-lyase)	NM_145953	up	0.001	ns
10549760	Zfp580	zinc finger protein 580	BC066001	down	0.001	0.02
10520362	Insig1	insulin induced gene 1	NM_153526	down	0.001	ns
10376017	ENSMUSG00000054450	predicted gene, ENSMUSG00000054450	ENSMUST00000067523	up	0.001	ns
10478073	---	snoRNA chromosome:NCBIM37:2:158203958: 158204090:1 gene:ENSMUSG00000065840	ENSMUST00000083906	down	0.001	ns
10426169	1300018J18Rik	RIKEN CDNA 1300018J18 gene	NM_027905	down	0.001	ns
10375880	Nola2	nucleolar protein family A, member 2	NM_026631	down	0.001	ns
10345183	Cdk10	cyclin-dependent kinase (CDC2-like) 10	NM_194446	down	0.001	ns
10383518	Hexdc	hexosaminidase (glycosyl hydrolase family 20, catalytic domain) containing	NM_001001333	down	0.001	0.04
10593430	Snf1lk2	SNF1-like kinase 2	NM_178710	up	0.001	0.002
10410709	Rfesd	Rieske (Fe-S) domain containing	NM_178916	down	0.001	ns
10532150	2900024C23Rik	RIKEN cDNA 2900024C23 gene	BC116683	down	0.001	ns
10458555	Spry4	sprouty homolog 4 (Drosophila)	NM_011898	up	0.001	0.004
10438478	Abcc5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	NM_013790	up	0.001	0.03
10569203	Chid1	chitinase domain containing 1	NM_026522	down	0.001	ns
10491780	Hspa4l	heat shock protein 4 like	NM_011020	up	0.001	0.04
10550833	Zfp180	zinc finger protein 180	NM_001045486	up	0.001	0.04
10531185	Adamts3	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 3	NM_001081401	down	0.001	0.006
10420366	Gjb6	gap junction protein, beta 6	NM_001010937	up	0.001	ns
10556381	Mical2	microtubule associated monoxygenase, calponin and LIM domain containing 2	NM_177282	up	0.001	0.005
10547100	Plxnd1	plexin D1	NM_026376	down	0.001	ns
10369290	Ddit4	DNA-damage-inducible transcript 4	NM_029083	up	0.001	ns
10449452	Fkbp5	FK506 binding protein 5	NM_010220	up	0.001	ns
10518957	Dffb	DNA fragmentation factor, beta subunit	NM_007859	down	0.001	ns
10455852	Prrc1	proline-rich coiled-coil 1	NM_028447	down	0.001	ns
10599192	Lonrf3	LON peptidase N-terminal domain and ring finger 3	NM_028894	up	0.001	ns
10359334	Cacybp	calcyclin binding protein	NM_009786	up	0.001	ns
10494467	Itga10	integrin, alpha 10	NM_001081053	up	0.001	ns
10450369	Hspa1a	heat shock protein 1A	NM_010479	up	0.001	0.04
10560329	Hif3a	hypoxia inducible factor 3, alpha subunit	NM_016868	up	0.001	ns
10411287	Btf314	basic transcription factor 3-like 4	ENSMUST00000102742	down	0.001	0.01
10385203	Odz2	odd Oz/ten-m homolog 2 (Drosophila)	NM_011856	down	0.001	ns
10381260	Tubg2	tubulin, gamma 2	NM_134028	down	0.001	ns
10443108	Syngap1	synaptic Ras GTPase activating protein 1 homolog (rat)	XM_915205	down	0.001	ns
10457963	Gpr17	G protein-coupled receptor 17	NM_001025 381	up	0.001	ns
10557843	Fus	fusion, derived from t(12;16) malignant liposarcoma (human)	NM_139149	down	0.001	ns
10481155	Rexo4	REX4, RNA exonuclease 4 homolog (S. cerevisiae)	NM_207234	up	0.001	ns
10372844	Rassf3	Ras association (RalGDS/AF-6) domain family member 3	NM_138956	down	0.001	ns
10360139	Klhdc9	kelch domain containing 9	NM_001033 039	down	0.001	0.01
10558773	B4galnt4	beta-1,4-N-acetyl-galactosaminyl transferase 4	NM_177897	down	0.001	ns
10353803	Ugcgl1	UDP-glucose ceramide glucosyltransferase-like 1	NM_198899	up	0.001	0.03
10451198	Vegfa	vascular endothelial growth factor A	NM_001025 250	up	0.001	8.56e-05
10501235	Gstm4	glutathione S-transferase, mu 4	NM_026764	down	0.002	ns
10552622	2410002F23Rik	RIKEN cDNA 2410002F23 gene	BC059896	down	0.002	ns
10378024	Mis12	MIS12 homolog (yeast)	NM_025993	up	0.002	ns
10488472	2310001A20Rik	RIKEN cDNA 2310001A20 gene	AJ310638	down	0.002	0.04
10528021	Hspa8	heat shock protein 8	NM_031165	up	0.002	0.01
10559420	Tmc4	transmembrane channel-like gene family 4	NM_181820	up	0.002	ns
10381361	Aoc2	amine oxidase, copper containing 2 (retina-specific)	NM_178932	up	0.002	ns
10379615	Slfn5	schlafen 5	NM_183201	up	0.002	ns
10376555	ENSMUSG00000072890	predicted gene, ENSMUSG00000072890	AK144909	up	0.002	ns
10592830	Vps11	vacuolar protein sorting 11 (yeast)	NM_027889	down	0.002	0.04
10450796	EG667915	predicted gene, EG667915	XR_034307	down	0.002	ns
10552812	Irf3	interferon regulatory factor 3	NM_016849	up	0.002	0.003
10597493	Stt3b	STT3, subunit of the oligosaccharyltransferase complex, homolog B (S. cerevisiae)	NM_024222	up	0.002	ns
10349174	Serpinb8	serine (or cysteine) peptdiase inhibitor, clade B, member 8	NM_011459	up	0.002	ns
10379968	Tubd1	tubulin, delta 1	NM_019756	up	0.002	0.02
10361754	Epm2a	epilepsy, progressive myoclonic epilepsy, type 2 gene alpha	NM_010146	down	0.002	ns
10385790	Hspa4	heat shock protein 4	NM_008300	up	0.002	ns
10408490	Exoc2	exocyst complex component 2	NM_025588	down	0.002	0.02
10478615	Pcif1	PDX1 C-terminal inhibiting factor 1	NM_146129	down	0.002	ns
10400109	Zfp277	zinc finger protein 277	NM_172575	down	0.002	ns
10577882	Hgsnat	heparan-alpha-glucosaminide N-acetyltransferase	NM_029884	down	0.002	ns
10557508	Doc2a	double C2, alpha	NM_010069	down	0.002	ns
10451955	Sema6b	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B	NM_013662	down	0.002	ns
10451974	Sema6b	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B	NM_013662	down	0.002	ns
10556076	Olfml1	olfactomedin-like 1	NM_172907	down	0.002	ns
10554269	Abhd2	Abhydrolase domain containing 2	NM_018811	down	0.002	ns
10378545	---	MI0000696 Mus musculus miR-212 stem-loop	---	up	0.002	0.009
10362394	Hddc2	HD domain containing 2	NM_027168	down	0.002	0.04
10515335	C530005A16Rik	RIKEN cDNA C530005A16 gene	AK039789	down	0.002	ns
10351769	Igsf8	immunoglobulin superfamily, member 8	NM_080419	down	0.002	ns
10531191	Adamts3	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 3	NM_001081401	down	0.002	0.01
10505132	Akap2	A kinase (PRKA) anchor protein 2	NM_001035533	down	0.002	ns
10516529	Adc	arginine decarboxylase	NM_172875	down	0.002	ns
10489723	Prkcbp1	protein kinase C binding protein 1	NM_027230	up	0.002	0.03
10551989	Tmem149	transmembrane protein 149	NM_145580	up	0.002	0.02
10468639	Dclre1a	DNA cross-link repair 1A, PSO2 homolog (S. cerevisiae)	NM_018831	down	0.002	ns
10509838	Padi2	peptidyl arginine deiminase, type II	NM_008812	down	0.002	0.01
10460221	Chka	choline kinase alpha	NM_013490	up	0.002	ns
10487871	Cenpb	centromere protein B	NM_007682	down	0.002	ns
10382376	Ttyh2	tweety homolog 2 (Drosophila)	NM_053273	down	0.002	ns
10455588	Hspe1	heat shock protein 1 (chaperonin 10)	ENSMUST0000075242	up	0.002	ns
10382010	Wdr68	WD repeat domain 68	NM_027946	down	0.002	0.02
10529937	Kcnip4	Kv channel interacting protein 4	NM_030265	down	0.002	0.01
10534694	Ars2	arsenate resistance protein 2	NM_031405	up	0.002	0.009
10399208	Tmem196	transmembrane protein 196	ENSMUST0000058644	down	0.002	0.009
10474619	Fmn1	formin 1	NM_010230	down	0.002	ns
10565018	Iqgap1	IQ motif containing GTPase activating protein 1	NM_016721	up	0.002	ns
10371591	4930547N16Rik	RIKEN CDNA 4930547N16 gene	NM_029249	down	0.002	ns
10476252	Cdc25b	cell division cycle 25 homolog B (S. pombe)	NM_023117	down	0.002	ns
10462363	Jak2	Janus kinase 2	NM_008413	up	0.002	ns
10409278	Nfil3	nuclear factor, interleukin 3, regulated	NM_017373	up	0.002	0.005
10568897	Tubgcp2	tubulin, gamma complex associated protein 2	NM_133755	down	0.002	ns
10458843	Sema6a	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A	NM_018744	down	0.002	ns
10491486	Atp11b	ATPase, class VI, type 11B	NM_029570	down	0.002	0.001
10376004	Gdf9	growth differentiation factor 9	NM_008110	up	0.002	ns
10461115	Slc22a8	solute carrier family 22 (organic anion transporter), member 8	NM_031194	down	0.002	ns
10407993	Fusip1	FUS interacting protein (serine-arginine rich) 1	NM_001080387	up	0.002	ns
10449061	Rhbdl1	rhomboid, veinlet-like 1 (Drosophila)	NM_144816	down	0.002	ns
10544148	Jhdm1d	jumonji C domain-containing histone demethylase 1 homolog D (S. cerevisiae)	NM_001033430	up	0.002	ns
10498620	Trim59	tripartite motif-containing 59	NM_025863	down	0.002	ns
10457665	4921533120Rik	Riken cDNA 4921533120 gene	AK076609	up	0.002	ns
10406817	Enc1	ectodermal-neural cortex 1	NM_007930	up	0.002	0.009
10363333	Sh3rf3	SH3 domain containing ring finger 3	NM_172788	up	0.002	ns
10424062	A930017M01Rik	RIKEN cDNA A930017M01 gene	XR_035330	down	0.002	ns
10361270	Cd46	CD46 antigen, complement regulatory protein	NM_010778	down	0.002	0.01
10482766	Rprm	reprimo, TP53 dependent G2 arrest mediator candidate	NM_023396	down	0.002	0.03
10420372	Cryl1	crystallin, lambda 1	NM_030004	down	0.002	ns
10556246	Zfp143	zinc finger protein 143	NM_009281	up	0.002	ns
10526559	Ache	acetylcholinesterase	NM_009599	down	0.002	ns
10543466	Gpr37	G protein-coupled receptor 37	NM_010338	down	0.002	ns
10385004	Mare	alpha globin regulatory element containing gene	NM_181569	down	0.002	ns
10388938	Wsb1	WD repeat and SOCS box-containing 1	NM_019653	down	0.002	ns
10451932	S3-12	plasma membrane associated protein, S3-12	NM_020568	up	0.002	ns
10346303	Hspe1	heat shock protein 1 (chaperonin 10)	NM_008303	up	0.002	ns
10451650	Nfya	nuclear transcription factor-Y alpha	NM_001110832	up	0.002	ns
10531645	Hnrpdl	heterogeneous nuclear ribonucleoprotein D-like	NM_016690	down	0.002	ns
10344817	Cspp1	centrosome and spindle pole associated protein 1	NM_026493	down	0.002	0.001
10565775	Dgat2	diacylglycerol O-acyltransferase 2	NM_026384	down	0.002	ns
10495945	4930422G04Rik	RIKEN CDNA 4930422G04 gene	BC030185	down	0.002	ns
10504375	Npr2	natriuretic peptide receptor 2	NM_173788	down	0.003	ns
10533026	Prkab1	protein kinase, AMP-activated, beta 1 non-catalytic subunit	NM_031869	down	0.003	ns
10498952	Gucy1a3	guanylate cyclase 1, soluble, alpha 3	NM_021896	down	0.003	0.02
10478291	Sfrs6	splicing factor, arginine/serine-rich 6	NM_026499	up	0.003	ns
10492774	Dchs2	dachsous 2 (Drosophila)	ENSMUST0000116329	down	0.003	0.004
10588326	Nphp3	nephronophthisis 3 (adolescent)	NM_028721	down	0.003	ns
10472630	Ubr3	ubiquitin protein ligase E3 component n-recognin 3	NM_001081548	down	0.003	0.01
10499438	Msto1	misato homolog 1 (Drosophila)	NM_144898	down	0.003	ns
10418604	Phf7	PHD finger protein 7	NM_027949	down	0.003	ns
10450845	Mog	myelin oligodendrocyte glycoprotein	NM_010814	down	0.003	ns
10581036	Tk2	thymidine kinase 2, mitochondrial	NM_021028	down	0.003	ns
10404885	Gmpr	guanosine monophosphate reductase	NM_025508	down	0.003	ns
10552656	Syt3	synaptotagmin III	NM_016663	down	0.003	ns
10399337	Klhl29	kelch-like 29 (Drosophila)	BC145748	up	0.003	0.03
10386636	Usp22	ubiquitin specific peptidase 22	NM_001004143	down	0.003	ns
10369704	Hnrnph3	heterogeneous nuclear ribonucleoprotein H3	NM_001079824	up	0.003	ns
10408755	Muted	muted	NM_139063	down	0.003	ns
10485282	Alkbh3	alkB, alkylation repair homolog 3 (E. coli)	NM_026944	down	0.003	ns
10543737	Copg2	coatomer protein complex, subunit gamma 2	NM_017478	down	0.003	0.04
10345203	Paox	polyamine oxidase (exo-N4-amino)	NM_153783	down	0.003	ns
10397651	Spata7	spermatogenesis associated 7	NM_178914	down	0.003	ns
10547469	Hsn2	hereditary sensory neuropathy, type II	NM_001037 155	down	0.003	0.05
10357814	Zc3h11a	zinc finger CCCH type containing 11A	NM_144530	up	0.003	ns
10579341	BC051227	cDNA sequence BC051227	BC051227	down	0.003	ns
10455092	Pcdhb12	protocadherin beta 12	NM_053137	down	0.003	0.01
10502823	Dnajb4	DnaJ (Hsp40) homolog, subfamily B, member 4	NM_025926	up	0.003	ns
10528102	Crot	carnitine O-octanoyltransferase	NM_023733	up	0.003	ns
10575598	Znrf1	zinc and ring finger 1	NM_133206	up	0.003	0.01
10561673	Spred3	sprouty-related, EVH1 domain containing 3	NM_182927	up	0.003	0.0009
10386455	Rasd1	RAS, dexamethasone-induced 1	NM_009026	up	0.003	0.04
10431463	1700027J05Rik	RIKEN cDNA 1700027J05 gene	NM_027081	down	0.003	ns
10347697	Slc4a3	solute carrier family 4 (anion exchanger), member 3	NM_009208	down	0.003	ns
10436282	Impg2	interphotoreceptor matrix proteoglycan 2	NM_174876	up	0.003	ns
10385239	Mat2b	methionine adenosyltransferase II, beta	NM_134017	down	0.003	ns
10347781	9430031J16Rik	RIKEN cDNA 9430031J16 gene	BC082310	down	0.003	ns
10359582	Fmo2	flavin containing monooxygenase 2	NM_018881	up	0.004	ns
10410477	Adamts16	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 16	NM_172053	down	0.004	ns
10598138	Spry3	sprouty homolog 3 (Drosophila)	NM_001030 293	up	0.004	ns
10549615	Leng8	leukocyte receptor cluster (LRC) member 8	NM_172736	down	0.004	ns
10535732	Gpr12	G-protein coupled receptor 12	NM_001010 941	down	0.004	ns
10434880	Hrasls *	HRAS-like suppressor	NM_013751	down	0.004	ns
10478341	Ift52	intraflagellar transport 52 homolog (Chlamydomonas)	NM_172150	down	0.004	ns
10579508	Ano8	anoctamin 8	AK173222	down	0.004	ns
10590389	Nktr	natural killer tumor recognition sequence	NM_010918	up	0.004	ns
10350733	Rgs16	regulator of G-protein signaling 16	NM_011267	up	0.004	ns
10576258	Cdk10	cyclin-dependent kinase (CDC2-like) 10	NM_194446	down	0.004	ns
10586110	Cln6	ceroid-lipofuscinosis, neuronal 6	NM_001033 175	down	0.004	0.01
10361007	Smyd2	SET and MYND domain containing 2	NM_026796	down	0.004	ns
10468990	Parl	presenilin associated, rhomboid-like	NM_001005 767	down	0.004	0.0005
10561212	Ltbp4	latent transforming growth factor beta binding protein 4	NM_175641	down	0.004	ns
10492396	Vmn2r1	vomeronasal 2, receptor 1	NM_019918	down	0.004	ns
10383289	Baiap2	brain-specific angiogenesis inhibitor 1-associated protein 2	NM_130862	up	0.004	0.008
10411882	Nin	neurolysin (metallopeptidase M3 family)	NM_029447	down	0.004	ns
10401900	Sel1l	sel-1 suppressor of lin-12-like (C. elegans)	NM_001039 089	up	0.004	0.04
10381539	G6pc3	glucose 6 phosphatase, catalytic, 3	NM_175935	down	0.004	ns
10415052	Mmp14	matrix metallopeptidase 14 (membrane-inserted)	NM_008608	down	0.004	ns
10601099	Med12	mediator of RNA polymerase II transcription, subunit 12 homolog (yeast)	NM_021521	down	0.004	ns
10374590	Xpo1	exportin 1, CRM1 homolog (yeast)	NM_134014	up	0.004	ns
10448459	Tbc1d24	TBC1 domain family, member 24	NM_173186	down	0.004	ns
10583586	Slc44a2	solute carrier family 44, member 2	NM_152808	down	0.004	ns
10384672	Ahsa2	AHA1, activator of heat shock protein ATPase homolog 2 (yeast)	NM_172391	up	0.004	ns
10504918	Zfp189	zinc finger protein 189	NM_145547	up	0.004	ns
10546760	Ddx3x	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked	BC083059	down	0.004	ns
10429329	Eif2c2	eukaryotic translation initiation factor 2C, 2	NM_153178	up	0.004	ns
10531173	Adamts3	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 3	NM_001081 401	down	0.004	ns
10590245	Slc25a38	solute carrier family 25, member 38	NM_144793	up	0.004	0.01
10479884	OTTMUSG00000010878	predicted gene, OTTMUSG00000010878	ENSMUST0 0000071016	up	0.004	0.04
10478075	---	snoRNA chromosome:NCBIM37:2:158205270: 158205402:1 gene:ENSMUSG00000064585	ENSMUST0 0000082651	down	0.004	0.03
10444936	Dhx16	DEAH (Asp-Glu-Ala-His) box polypeptide 16	NM_026987	up	0.004	0.02
10522160	N4bp2	NEDD4 binding protein 2	NM_001024 917	up	0.004	ns
10548735	Dusp16	dual specificity phosphatase 16	NM_130447	down	0.004	ns
10495621	---	MI0000163 Mus musculus miR-137 stem-loop	---	down	0.004	ns
10441280	Prdm15	PR domain containing 15	BC046433	up	0.004	0.002
10525718	Arl6ip4	ADP-ribosylation factor-like 6 interacting protein 4	NM_144509	down	0.005	ns
10363563	Slc25a16	solute carrier family 25 (mitochondrial carrier, Graves disease autoantigen), member 16	NM_175194	down	0.005	ns
10489484	Sdc4	syndecan 4	NM_011521	up	0.005	ns
10529385	Zfyve28	zinc finger, FYVE domain containing 28	NM_001015 039	down	0.005	ns
10530029	Lgi2	leucine-rich repeat LGI family, member 2	NM_144945	down	0.005	ns
10386394	BC050078	cDNA sequence BC050078	BC050078	down	0.005	ns
10577641	1810011010Rik	RIKEN cDNA 1810011010 gene	NM_026931	up	0.005	ns
10522250	Tmem33	transmembrane protein 33	NM_028975	up	0.005	ns
10517744	Arhgef101	Rho guanine nucleotide exchange factor (GEF) 10-like	NM_172415	down	0.005	ns
10427816	Pdzd2	PDZ domain containing 2	NM_001081	up	0.005	ns
10512915	2810432L12Rik	RIKEN cDNA 2810432L12 gene	BC013800	down	0.005	ns
10594426	Zwilch	Zwilch, kinetochore associated, homolog (Drosophila)	NM_026507	down	0.005	0.01
10601360	Atp7a	ATPase, Cu++ transporting, alpha polypeptide	NM_001109757	up	0.005	ns
10497417	Crh	corticotropin releasing hormone	NM_205769	up	0.005	ns
10571657	Acsl1	acyl-CoA synthetase long-chain family member 1	NM_007981	down	0.005	ns
10564978	Blm	Bloom syndrome homolog (human)	NM_007550	down	0.005	ns
10490097	Cbln4	cerebellin 4 precursor protein	NM_175631	up	0.005	0.02
10607806	Ofd1	oral-facial-digital syndrome 1 gene homolog (human)	NM_177429	down	0.005	0.03
10521331	A930005104Rik	RIKEN CDNA A930005104 gene	BC116928	up	0.005	ns
10585874	Hexa	hexosaminidase A	NM_010421	up	0.005	0.02
10571274	Gsr	glutathione reductase	NM_010344	down	0.005	ns
10527332	Nptx2	neuronal pentraxin 2	NM_016789	up	0.005	0.006
10416279	Lgi3	leucine-rich repeat LGI family, member 3	NM_145219	down	0.005	ns
10597564	Cmc1	COX assembly mitochondrial protein homolog (S. cerevisiae)	ENSMUSTO0000044220	down	0.005	ns
10392464	BC029169	cDNA sequence BC029169	BC029169	up	0.005	ns
10520154	Abcb8	ATP-binding cassette, sub-family B (MDR/TAP), member 8	NM_029020	down	0.005	ns
10545629	Htra2	HtrA serine peptidase 2	NM_019752	down	0.005	ns
10594645	Rab8b	RAB8B, member RAS oncogene family	NM_173413	up	0.005	ns
10584634	Usp2	ubiquitin specific peptidase 2	NM_198092	down	0.005	0.04
10395376	Ankmy2	ankyrin repeat and MYND domain containing 2	NM_146033	down	0.005	ns
10372342	Nav3	neuron navigator 3	NM_001081035	down	0.005	0.01
10388520	Glod4	glyoxalase domain containing 4	NM_026029	down	0.005	ns
10478897	Ptpn1	protein tyrosine phosphatase, non-receptor type 1	NM_011201	up	0.005	0.03
10569134	Deaf1	deformed epidermal autoregulatory factor 1 (Drosophila)	NM_016874	down	0.005	ns
10468329	Obfc1	oligonucleotide/oligosaccharide-binding fold containing 1	NM_175360	down	0.005	ns
10582429	Cbfa2t3	core-binding factor, runt domain, alpha subunit 2, translocated to, 3 (human)	NM_009824	up	0.005	0.005
10522303	Guf1	GUF1 GTPase homolog (S. cerevisiae)	NM_172711	down	0.005	ns
10568948	Sprn	shadow of prion protein	NM_183147	down	0.005	ns
10561004	Erf	Ets2 repressor factor	NM_010155	down	0.005	ns
10531166	Adamts3	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 3	NM_001081401	down	0.005	0.02
10393620	Cbx4	chromobox homolog 4 (Drosophila Pc class)	NM_007625	down	0.005	ns
10559825	2810409K11Rik	RIKEN cDNA 2810409K11 gene	BC117497	up	0.005	ns
10578109	Ubxn8	UBX domain protein 8	NM_178648	down	0.005	ns
10596053	Pccb	propionyl Coenzyme A carboxylase, beta polypeptide	NM_025835	down	0.005	ns
10453867	Rbbp8	retinoblastoma binding protein 8	NM_001081	down	0.005	ns
10584862	Scn4b	sodium channel, type IV, beta	NM_001013 223 390	down	0.005	ns
10521626	Cc2d2a	coiled-coil and C2 domain containing 2A	NM_172274	down	0.005	ns
10507418	Eif2b3	eukaryotic translation initiation factor 2B, subunit 3	NM_001111 277	down	0.006	ns
10600034	Gm1141	gene model 1141, (NCBI)	ENSMUSTO 0000101495	up	0.006	ns
10378902	Nufip2	nuclear fragile X mental retardation protein interacting protein 2	NM_001024 205	up	0.006	ns
10460359	Coro1b	coronin, actin binding protein 1B	NM_011778	down	0.006	ns
10416640	Mtrf1	mitochondrial translational release factor 1	NM_145960	down	0.006	ns
10377790	Slc16a11	solute carrier family 16 (monocarboxylic acid transporters), member 11	NM_153081	down	0.006	ns
10549552	Prpf31	PRP31 pre-mRNA processing factor 31 homolog (yeast)	NM_027328	down	0.006	ns
10589413	Nme6	non-metastatic cells 6, protein expressed in (nucleoside- diphosphate kinase)	NM_018757	down	0.006	ns
10487945	Prei4	preimplantation protein 4	NM_028802	down	0.006	0.01
10424349	Sqle	squalene epoxidase	NM_009270	down	0.006	ns
10344713	Ahcy	S-adenosylhomocysteine hydrolase	L32836	down	0.006	ns
10558057	Brwd2	bromodomain and WD repeat domain containing 2	NM_172255	down	0.006	0.03
10479833	Optn	optineurin	NM_181848	down	0.006	ns
10604922	BC023829	cDNA sequence BC023829	NM_001033 328	up	0.006	ns
10514000	Mpdz	multiple PDZ domain protein	NM_010820	up	0.006	ns
10430834	Naga	N-acetyl galactosaminidase, alpha	NM_008669	down	0.006	ns
10436830	Ifnar2	interferon (alpha and beta) receptor 2	NM_010509	down	0.006	ns
10513608	Alad	aminolevulinate, delta-, dehydratase	NM_008525	down	0.006	ns
10397507	Gstz1	glutathione transferase zeta 1 (maleylacetoacetate isomerase)	NM_010363	down	0.006	ns
10364194	Lss	lanosterol synthase	NM_146006	down	0.006	0.03
10368025	Hspa8	heat shock protein 8	NM_031165	up	0.006	0.04
10479026	Rae1	RAE1 RNA export 1 homolog (S. pombe)	NM_175112	down	0.006	ns
10595298	Filip1	filamin A interacting protein 1	NM_001081 243	down	0.006	ns
10508490	Sfrs5	splicing factor, arginine/serine-rich 5 (SRp40, HRS)	NM_001079 694	down	0.006	0.005
10448016	Tcte3	t-complex-associated testis expressed 3	NM_011560	down	0.006	ns
10425207	H1f0	H1 histone family, member 0	NM_008197	down	0.006	ns
10578763	Sap30	sin3 associated polypeptide	NM_021788	up	0.006	ns
10460468	Ctsf	cathepsin F	NM_019861	down	0.006	ns
10487906	Slc23a2	solute carrier family 23 (nucleobase transporters), member 2	NM_018824	down	0.006	0.04
10448559	---	---	ENSMUSTO	up	0.006	ns
10354374	Slc40a1	solute carrier family 40 (iron-regulated transporter), member 1	0000084725	down	0.006	ns
10414522	Apex1	apurinic/apyrimidinic endonuclease 1	NM_016917	down	0.006	ns
10483081	Fap	fibroblast activation protein	NM_009687	down	0.006	ns
10528120	Dmtf1	cyclin D binding myb-like transcription factor 1	NM_011806	up	0.007	ns
10580870	Zfp319	zinc finger protein 319	ENSMUST00000098479	up	0.007	ns
10430711	Slc25a17	solute carrier family 25 (mitochondrial carrier, peroxisomal membrane protein), member 17	NM_011399	down	0.007	ns
10577388	---	cdna:Genscan supercontig:NCBIM37:NT_166309:110939:130509:-1	GENSCAN0000018646	down	0.007	0.02
10394690	E2f6	E2F transcription factor 6	NM_033270	up	0.007	ns
10473125	Itga4	integrin alpha 4	NM_010576	down	0.007	0.02
10394331	Pfn4	profilin family, member 4	NM_028376	down	0.007	0.007
10597095	3000002C10Rik	RIKEN cDNA 3000002C10 gene	BC061210	down	0.007	0.03
10378453	1300001I01Rik	RIKEN CDNA 1300001101 gene	BC072573	down	0.007	ns
10405211	Gadd45g	growth arrest and DNA-damage-inducible 45 gamma	NM_011817	up	0.007	ns
10404595	Ppp1r3g	protein phosphatase 1, regulatory (inhibitor) subunit 3G	XM_127272	up	0.007	ns
10518408	Plod1	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1	NM_011122	up	0.007	ns
10354432	Myo1b	myosin IB	NM_010863	down	0.007	0.008
10483809	Nfe212	nuclear factor, erythroid derived 2, like 2	NM_010902	up	0.007	ns
10533444	4930565B19Rik	RIKEN cDNA 4930565B19 gene	ENSMUST0000100746	up	0.007	ns
10360884	Iars2	isoleucine-tRNA synthetase 2, mitochondrial	NM_198653	down	0.007	ns
10575867	Mlycd	malonyl-CoA decarboxylase	NM_019966	up	0.007	0.005
10574087	Herpud1	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1	NM_022331	up	0.007	0.04
10562152	Mag	myelin-associated glycoprotein	NM_010758	down	0.007	ns
10344807	Cspp1	centrosome and spindle pole associated protein 1	NM_026493	up	0.007	ns
10416533	Ccdc122	coiled-coil domain containing 122	NM_175369	down	0.007	ns
10386473	Srebf1	sterol regulatory element binding transcription factor 1	NM_011480	down	0.007	ns
10521090	Tacc3	transforming, acidic coiled-coil containing protein 3	NM_001040435	down	0.007	ns
10582477	Spata2L	spermatogenesis associated 2-like	NM_030176	up	0.007	0.01
10378848	Hsp90aa1	heat shock protein 90, alpha (cytosolic), class A member 1	NM_010480	up	0.007	ns
10578071	Wrn	Werner syndrome homolog (human)	NM_011721	down	0.007	0.01
10540028	Klf15	Kruppel-like factor 15	NM_023184	up	0.007	ns
10355205	D630023F18Rik	RIKEN cDNA D630023F18 gene	BC137870	down	0.007	0.02
10498367	P2ry13	purinergic receptor P2Y, G-protein coupled 13	NM_028808	down	0.007	ns
10354598	Hecw2	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2	NM_001001883	down	0.007	ns
10505213	E130308A19Rik	RIKEN cDNA E130308A19 gene	NM_153158	up	0.007	ns
10380067	Sept4	septin 4	NM_011129	down	0.007	ns
10587627	Cyb5r4	cytochrome b5 reductase 4	NM_024195	up	0.007	ns
10545897	Dusp11	dual specificity phosphatase 11 (RNA/RNP complex 1-interacting)	NM_028099	up	0.007	0.01
10542872	Rps4y2	ribosomal protein S4, Y-linked 2	NR_003634	down	0.007	ns
10423745	Spag1	sperm associated antigen 1	NM_012031	up	0.007	ns
10519354	Pex1	peroxisome biogenesis factor 1	NM_027777	up	0.007	ns
10432439	Fmnl3	formin-like 3	NM_011711	down	0.008	ns
10516348	Eif2c3	eukaryotic translation initiation factor 2C, 3	NM_153402	up	0.008	ns
10402615	Hsp90aa1	heat shock protein 90, alpha (cytosolic), class A member 1	NM_010480	up	0.008	ns
10360912	EG677785	predicted gene, EG677785	XR_032381	down	0.008	ns
10556413	Micalcl	MICAL C-terminal like	AB359922	up	0.008	ns
10401063	Zbtb25	zinc finger and BTB domain containing 25	NM_028356	down	0.008	ns
10557035	Polr3e	polymerase (RNA) III (DNA directed) polypeptide E	NM_025298	down	0.008	ns
10508115	Stk40	serine/threonine kinase 40	NM_028800	up	0.008	0.04
